Italiano,Español,IPA
Abbastanza,Suficiente,abˈbastaɲʦa
Abbia,Tener,ˈabbia
Abbiamo,Tenemos,abˈbiamo
Accordo,Acuerdo,akˈkordo
Acqua,Cascada,ˈakkwa
Addio,Adiós,adˈdi.o
Addosso,En,enˈdos.so
Adesso,Ahora,aˈdɛsso
Adoro,Yo adoro,aˈdo.ro
Aereo,Avión,aˈe.ro
Affari,Negocio,afˈfaːri
Agente,Agente,aˈdʒɛnte
Agli,A,ˈa.ʎi
Ai,Hacia,ai
Aiutare,Ayuda,a.juˈta.re
Aiuto,Ayuda,ˈajuto
Al,Hacia,al
Alcune,Alguien,alˈku.ne
Alcuni,Alguno,alˈku.ni
Alla,En el,ˈalla
Alle,A,aˈlle
Allo,En el,a.lo
Allora,En ese tiempo,alˈlɔra
Almeno,Al menos,alˈmeːno
Alto,Alto,ˈal.to
Altra,Otro,ˈaltra
Altre,Otro,ˈaltre
Altri,Otros,ˈaltri
Altro,Otro,ˈaltro
Amica,Amigo,aˈmi.ka
Amici,Amigos,aˈmitʃi
Amico,Amigo,aˈmiko
Amo,Amo,ˈamo
Amore,Amar,aˈmoːre
Anch',También,ank
Anche,También,ˈankɛ
Ancora,Aún,anˈkora
Andando,Yendo,anˈdando
Andare,Ir,anˈdare
Andata,Exterior,anˈdata
Andate,Ir,anˈda.te
Andato,Partido,anˈdato
Andiamo,Vamos,anˈdiamo
Anni,Años,ˈanni
Anno,Año,ˈanno
Appartamento,Departamento,a.par.taˈmen.to
Appena,Tan pronto como,apˈpɛna
Appuntamento,Cita,appuntaˈmen.to
Aria,Aire,ˈa.ri.a
Arma,Arma,ˈar.ma
Armi,Arma,ˈar.mi
Arriva,El llega,aˈrri.va
Arrivando,Que llega,aˈri.van.do
Arrivare,Llegar,ar.riˈva.re
Arrivato,Llegó,ar.riˈva.to
Arrivo,Llego,arˈri.vo
Ascolta,Escuchar,asˈkolta
Aspetta,Esperar,asˈpɛtta
Aspettando,Espera,as.petˈtan.do
Aspettare,Esperar,as.petˈta.re
Aspetti,Aspecto,asˈpɛt.ti
Aspetto,Yo espero,asˈpet.to
Assassino,Asesino,as.asˈsi.no
Assolutamente,Absolutamente,ab.so.lu.taˈmen.te
Attento,Cuidadoso,atˈtɛn.to
Attenzione,Atención,at.tenˈt͡sjɔ.ne
Attimo,Momento,ˈattimo
Auto,Auto,ˈauto
Avanti,Después de usted,aˈvanti
Aver,Tener,aˈver
Avere,Tener,aˈvɛre
Avesse,Tenía,aˈves.se
Avessi,Tenía,aˈvessi
Avete,Tienes,avˈvɛte
Aveva,Yo tenía,aˈvɛva
Avevamo,Tuvimos,aˈvɛ.va.mo
Avevano,Tuvieron,aˈve.va.no
Avevi,Tu tenias,aˈvɛvi
Avevo,Tenía,aˈvɛvo
Avrai,Usted tendrá,avˈra.i
Avrebbe,Tendría,avˈvɛbːre
Avrei,Quisiera,aˈvrei
Avresti,Tuvieras,avˈrɛsti
Avuto,Tenía,aˈvuto
Avvocato,Abogado,av.voˈka.to
Bagno,Baño,ˈba.ɲo
Bambina,Chica,bamˈbi.na
Bambini,Niños,bamˈbini
Bambino,Niño,bamˈbino
Bar,Cafetería,bar
Base,Base,ˈba.se
Basta,Suficiente,ˈbasta
Bastardo,Bastardo,basˈtar.do
Beh,Bien,be
