Português,Español,IPA
como,cómo,ˈkõ.mu
eu,yo,eu
seu,su,sɛw
que,que,ke
ele,él,ɛl
foi,fue,foj
para,para,ˈpa.ɾɐ
em,en,en
são,son,ˈsɐ̃w̃
com,con,kõ
eles,ellos,ˈɛ.luʃ
ser,ser,sɛʁ
em,en,en
uma,una,ˈu.mɐ
tem,tiene,tẽj
este,este,ˈɛs.tʃi
a partir de,desde,ɐ paʁˈtiʁ dʒi
por,por,pɔʁ
quente,caliente,ˈkẽ.tʃi
palavra,palabra,paˈla.bɾɐ
mas,pero,mas
o que,lo que,u ki
alguns,algunos,ɐw̃ˈʒũs
é,es,ɛ
ele,él,ɛl
você,tú,voˈse
ou,o,u
teve,tuvo,ˈte.vi
o,el,ɔ
de,de,dʒi
a,a,ɐ
e,y,i
uma,una,ˈu.mɐ
em,en,en
nós,nos,nɔs
lata,puede,ˈlatɐ
fora,fuera,ˈfo.ɾɐ
outro,otro,ˈotɾu
foram,fueron,foˈɾɐ̃w̃
que,que,ke
fazer,hacer,faˈzeʁ
seu,su,sɛw
tempo,tiempo,ˈtẽpu
se,sí,se
vontade,voluntad,võˈtadʒi
como,cómo,ˈkõ.mu
disse,dijo,ˈdi.zi
uma,una,ˈu.mɐ
cada,cada,ˈka.dɐ
dizer,decir,diˈzeʁ
faz,hacer,faz
conjunto,conjunto,kõˈʒũtu
três,tres,tɾɛs
quer,quiere,keʁ
ar,año,aʁ
bem,bien,ˈbẽj
também,también,tɐ̃ˈbẽj
jogar,jugar,ʒoˈɡaʁ
pequeno,pequeño,peˈkeɲu
fim,fin,fĩ
colocar,poner,kuluˈkaʁ
casa,casa,ˈkazɐ
ler,leer,leʁ
mão,mano,ˈmɐ̃w̃
port,puerto,poʁt
grande,grande,ˈɡɾɐ̃dʒi
soletrar,soletrar,so.lɛtˈɾaʁ
adicionar,añadir,adiʃjuˈnaʁ
mesmo,mismo,ˈmɛzmu
terra,tierra,ˈtɛʁɐ
aqui,aquí,aˈki
necessário,necesario,nesesɐˈɾju
grande,grande,ˈɡɾɐ̃dʒi
alto,alto,ˈawtu
tais,tales,tajʃ
siga,siga,ˈsi.ɡɐ
ato,acto,ˈatʊ
por que,por qué,pɔʁ ke
perguntar,preguntar,pɛʁɡũˈtaʁ
homens,hombres,ˈɔmẽjʃ
mudança,cambio,muˈdɐ̃.ʃɐ
fui,fui,fuji
luz,luz,luʃ
tipo,tipo,ˈtʃi.pu
off,apagado,ɔf
precisa,necesita,ˈpɾɛsizɐ
casa,casa,ˈkazɐ
imagem,imagen,iˈma.ʒẽ
tentar,intentar,tẽˈtaʁ
nós,nos,nɔs
novamente,nuevamente,no.vaˈmẽ.tʃi
