Français,Español,IPA
comme,como,kɔm
je,yo,ʒə
son,su,sɔ̃
que,que,kə
il,él,il
était,era,etɛ
pour,para,puʁ
sur,sobre,syʁ
sont,son,sɔ̃
avec,con,avɛk
ils,ellos,il
être,ser,ɛtʁ
à,a,a
un,un,œ̃
avoir,tener,avwaʁ
ce,esto,sə
à partir de,desde,‿a paʁtiʁ də
par,por,paʁ
chaud,caliente,ʃo
mot,palabra,mo
mais,pero,mɛ
que,que,kə
certains,algunos,sɛʁtɛ̃
est,es,ɛ
il,él,il
vous,usted,vu
ou,o,u
eu,tenido,ø
la,la,la
de,de,də
à,a,a
et,y,e
un,un,œ̃
dans,en,dɑ̃
nous,nosotros,nu
boîte,caja,bwat
dehors,fuera,dəɔʁ
autre,otro,otʁ
étaient,eran,etɛ
qui,que,ki
faire,hacer,fɛʁ
leur,su,lœʁ
temps,tiempo,tɑ̃
si,si,si
volonté,voluntad,vɔlɔ̃te
comment,cómo,kɔmɑ̃
dit,dijo,di
un,uno,œ̃
chaque,cada,ʃak
dire,decir,diʁ
ne,no,nə
ensemble,juntos,ɑ̃sɑ̃bl
trois,tres,tʁwa
vouloir,querer,vulwaʁ
air,aire,ɛʁ
bien,bien,bjɛ̃
aussi,también,osi
jouer,jugar,ʒwe
petit,pequeño,pəti
fin,final,fɛ̃
mettre,poner,mɛtʁ
maison,casa,mɛzɔ̃
lire,leer,liʁ
main,mano,mɛ̃
port,paso,poʁ
grand,grande,gʁɑ̃
épeler,deletrear,epəle
ajouter,añadir,aʒute
même,mismo,mɛm
terre,tierra,tɛʁ
ici,aquí,isi
il faut,se necesita,il fo
grand,alto,gʁɑ̃
haut,alto,o
tel,como,tɛl
suivre,seguir,sɥivʁ
acte,acto,akt
pourquoi,por qué,puʁkwa
interroger,interrogar,ɛ̃tɛʁɔɡe
hommes,hombres,ɔm
changement,cambio,ʃɑ̃ʒmɑ̃
est allé,fue,ɛt ale
lumière,luz,lymjɛʁ
genre,género,ʒɑ̃ʁ
de,de,də
besoin,necesidad,bəzwɛ̃
maison,casa,mɛzɔ̃
image,imagen,imaʒ
essayer,intentar,eseje
nous,nosotros,nu
encore,aún,ɑ̃kɔʁ
animal,animal,animɑl
point,punto,pwɛ̃
mère,madre,mɛʁ
monde,mundo,mɔ̃d
près de,cerca de,pʁɛ də
construire,construir,kɔ̃stʁɥiʁ
soi,mismo,swa
terre,tierra,tɛʁ
père,padre,pɛʁ
tout,todo,tu
nouveau,nuevo,nuvɛl
travail,trabajo,tʁavaj
partie,parte,paʁti
prendre,tomar,pʁɑ̃dʁ
obtenir,obtener,ɔptəniʁ
lieu,lugar,ljø
fabriqué,fabricado,fabʁike
vivre,vivir,vivʁ
où,donde,u
après,después,apʁɛ
arrière,atrás,aʁjɛʁ
peu,poco,pø
seulement,sólo,sələmɑ̃
tour,vuelta,tuʁ
homme,hombre,ɔm
année,año,anɛ
est venu,vino,ɛ vəny
montrer,mostrar,mɔ̃tʁe
tous,todo,tu
bon,buen,bɔ̃
moi,yo,mwa
donner,dar,dɔne
notre,nuestro,notʁ
sous,bajo,su
nom,nombre,nɔ̃
très,muy,tʁɛ
par,por,paʁ
juste,justo,ʒyst
forme,forma,fɔʁm
phrase,frase,fʁaz
grand,gran,ɡʁɑ̃
penser,pensar,pɑ̃se
dire,decir,diʁ
aider,ayudar,ɛde
faible,débil,fɛbl
ligne,línea,liɲ
différer,diferir,difeʁe
tour,tour,tuʁ
la cause,la causa,la koz
beaucoup,mucho,boku
signifier,significar,siɲifiʁe
avant,antes,avɑ̃
déménagement,mudanza,de.mɑ̃naʒmɑ̃
droit,derecho,dʁwa
garçon,niño,ɡaʁsɔ̃
vieux,viejo,vjø
trop,demasiado,tʁo
même,mismo,mɛm
elle,ella,ɛl
tous,todo,tu
là,allí,la
quand,cuándo,kɑ̃
jusqu’à,hasta,ʒysko
utiliser,utilizar,ytilize
votre,su,vɔtʁ
manière,manera,manjɛʁ
sur,sobre,syʁ
beaucoup,mucho,boku
puis,luego,pɥi
les,los,le
écrire,escribir,ekʁiʁ
voudrais,gustaría,vudʁɛ
comme,como,kɔm
si,si,si
ces,estos,sɛ
son,su,sɔ̃
long,largo,lɔ̃ɡ
faire,hacer,fɛʁ
chose,cosa,ʃoz
voir,ver,vwaʁ
lui,a él,lɥi
deux,dos,dø
a,a,a
regarder,mirar,ʁəɡaʁde
plus,más,plys
jour,día,ʒuʁ
pourrait,podría,puʁʁɛ
aller,ir,ale
venir,venir,vəniʁ
fait,hecho,fɛ
nombre,número,nɔ̃bʁ
son,su,sɔ̃
aucun,ninguno,o.kœ̃
plus,más,plys
personnes,personas,pɛʁsɔn
ma,mi,mɑ̃
sur,sobre,syʁ
savoir,saber,savwaʁ
eau,agua,o
que,que,kə
appel,llamada,apɛl
première,primero,pʁəmjɛʁ
qui,quien,ki
peut,puede,pø
vers le bas,hacia abajo,vɛʁ lə ba
côté,lado,kot
été,verano,ete
maintenant,ahora,mɛ̃tənɑ̃
trouver,encontrar,tʁuve
tête,cabeza,tɛt
supporter,soportar,sypɔʁte
propre,limpio,pʁɔpʁ
page,página,paʒ
devrait,debería,dəvʁɛ
pays,país,pɛi
trouvé,encontrado,tʁuve
réponse,respuesta,ʁe.pɔ̃s
école,escuela,ekɔl
croître,crecer,kʁwɛtʁ
étude,estudio,etyd
encore,aún,ɑ̃kɔʁ
apprendre,aprender,apʁɑ̃dʁ
usine,fábrica,yzin
couvercle,tapa,kuvɛʁkl
nourriture,comida,nuʁityʁ
soleil,sol,sɔ.lɛj
quatre,cuatro,katʁ
entre,entre,ɑ̃tʁ
état,estado,eta
garder,guardar,ɡaʁde
œil,ojo,œj
jamais,nunca,ʒamɛ
dernier,último,dɛʁ.nje
laisser,dejar,lɛ.se
pensée,pensamiento,pɑ̃.se
ville,ciudad,vil
arbre,árbol,ɑʁbʁ
traverser,cruzar,tʁavɛʁse
