English,Español,IPA
A,Un,ə
Able,Capaz,ˈeɪbl̩
About,Acerca de,əˈbaʊt
Absolutely,Absolutamente,ˈæbsəˌlutli
Accident,Accidente,ˈæksɪdənt
Across,Al otro lado de,əˈkrɒs
Act,Acto,ækt
Actually,De hecho,ˈæktʃuəli
After,Después,ˈæftər
Afternoon,Tarde,ˌæftərˈnun
Again,De nuevo,əˈɡɛn
Against,Contra,əˈɡɛnst
Age,Edad,eɪdʒ
Agent,Agente,ˈeɪdʒənt
Ago,Atrás,əˈɡoʊ
Agree,Estar de acuerdo,əˈɡri
Ahead,Adelante,əˈhɛd
Air,Aire,ɛr
Alive,Vivo,əˈlaɪv
All,Todo,ɔl
Almost,Casi,ˈɔlˌmoʊst
Alone,Solo,əˈloʊn
Along,A lo largo de,əˈlɔŋ
Already,Ya,ɔlˈrɛdi
Alright,Está bien,ɔlˈraɪt
Also,También,ˈɔlsoʊ
Always,Siempre,ˈɔlˌweɪz
Am,Soy,æm
Am,Soy,æm
Amazing,Asombroso,əˈmeɪzɪŋ
America,América,əˈmɛrɪkə
American,Americano,əˈmɛrɪkən
An,Un,ən
And,Y,Y
Angry,Enojado,ˈæŋɡri
Another,Otro,əˈnʌðər
Answer,Respuesta,ˈænsər
Any,Cualquier,ˈɛni
Anybody,Cualquiera,ˈɛniˌbɒdi
Anymore,Ya no,ɛniˈmɔr
Anyone,Alguien,ˈɛniwʌn
Anything,Cualquier cosa,ˈɛniˌθɪŋ
Anywhere,En cualquier lugar,ˈɛniˌwɛr
Are,Son,ər
Area,Área,ˈɛriə
Army,Ejército,ˈɑrmi
Around,Alrededor,əˈraʊnd
Art,Arte,ɑrt
As,Como,əz
Ask,Preguntar,æsk
Asked,Preguntó,æskt
Asking,Preguntando,ˈæskɪŋ
At,En,æt
Attack,Ataque,əˈtæk
Attention,Atención,əˈtɛnʃən
Away,Lejos,əˈweɪ
Baby,Bebé,ˈbeɪbi
Back,Atrás,bæk
Bad,Malo,bæd
Bag,Bolsa,bæɡ
Ball,Pelota,bɔl
Bank,Banco,bæŋk
Bar,Bar,bɑr
Bastard,Bastardo,ˈbæstərd
Be,Ser,bi
Beat,Derrotar,bit
Beautiful,Hermoso,ˈbjutɪfəl
Because,Porque,bɪˈkɔz
Become,Convertirse,bɪˈkʌm
Bed,Cama,bɛd
Been,Sido,bɪn
Before,Antes,bɪˈfɔr
Behind,Detrás,bɪˈhaɪnd
Being,Ser,ˈbiɪŋ
Believe,Creer,bɪˈliv
Best,Mejor,bɛst
Bet,Apuesta,bɛt
Better,Mejor,ˈbɛtər
Between,Entre,bɪˈtwiːn
Big,Grande,bɪɡ
Bill,Factura,bɪl
Birthday,Cumpleaños,ˈbɜrθˌdeɪ
Bit,Poco,bɪt
Bitch,Perra,bɪʧ
Black,Negro,blæk
Blood,Sangre,blʌd
Blow,Explotar,bloʊ
Blue,Azul,blu
Boat,Bote,boʊt
Book,Libro,bʊk
Born,Nacido,bɔrn
Boss,Jefe,bɔs
Both,Ambos,boʊθ
Bought,Compró,bɔt
Box,Caja,bɒks
Boy,Chico,bɔɪ
Boys,Niños,bɔɪz
Brain,Cerebro,breɪn
Break,Romper,breɪk
Bring,Traer,brɪŋ
Broke,En bancarrota,broʊk
Broken,Roto,ˈbroʊkən
Brother,Hermano,ˈbrʌðər
Brought,Trajo,brɔt
Buddy,Compañero,ˈbʌdi
Building,Edificio,ˈbɪldɪŋ
Business,Negocio,ˈbɪznɪs
Busy,Ocupado,ˈbɪzi
But,Pero,bət
Buy,Comprar,baɪ
By,Por,baɪ
Bye,Adiós,baɪ
Call,Llamar,kɔl
Called,Llamado,kɔld
Calling,Vocación,ˈkɔlɪŋ
